iter	Passed	Remaining
428	1730	2303
429	1736	2301
430	1738	2295
431	1742	2290
432	1747	2288
433	1750	2283
434	1756	2281
435	1760	2277
436	1763	2271
437	1768	2269
438	1774	2267
439	1779	2264
440	1783	2261
441	1786	2255
442	1791	2252
443	1797	2250
444	1802	2248
445	1807	2245
446	1810	2239
447	1815	2236
448	1818	2231
449	1821	2226
450	1823	2220
451	1826	2214
452	1831	2211
453	1834	2206
454	1837	2201
455	1840	2195
456	1843	2190
457	1848	2187
458	1851	2182
459	1855	2177
460	1858	2172
461	1861	2167
462	1863	2161
463	1866	2156
464	1869	2151
465	1872	2145
466	1877	2143
467	1880	2137
468	1883	2132
469	1886	2127
470	1889	2122
471	1892	2116
472	1894	2111
473	1897	2105
474	1902	2102
475	1905	2097
476	1907	2091
477	1912	2088
478	1915	2083
479	1918	2078
480	1921	2073
481	1924	2068
482	1927	2063
483	1931	2058
484	1933	2052
485	1935	2047
486	1938	2042
487	1941	2037
488	1944	2032
489	1947	2026
490	1951	2022
491	1956	2019
492	1959	2014
493	1964	2011
494	1967	2006
495	1970	2002
496	1973	1997
497	1976	1992
498	1980	1988
499	1985	1985
500	1988	1980
501	1993	1977
502	1997	1973
503	2000	1969
504	2003	1964
505	2006	1958
506	2009	1954
507	2013	1949
508	2016	1944
509	2018	1939
510	2021	1934
511	2023	1928
512	2026	1923
513	2029	1919
514	2033	1915
515	2036	1910
516	2041	1907
517	2045	1903
518	2048	1898
519	2051	1893
520	2054	1889
521	2058	1884
522	2060	1879
523	2066	1877
524	2069	1872
525	2072	1867
526	2075	1862
527	2077	1857
528	2083	1854
529	2086	1850
530	2089	1845
531	2092	1840
532	2096	1836
533	2099	1832
534	2102	1827
535	2107	1824
536	2110	1819
537	2114	1815
538	2119	1812
539	2123	1809
540	2127	1804
541	2133	1802
542	2137	1798
543	2144	1797
544	2149	1794
545	2154	1791
546	2158	1787
547	2164	1785
548	2168	1781
549	2170	1775
550	2173	1771
551	2176	1766
552	2180	1762
553	2184	1758
554	2186	1753
555	2189	1748
556	2194	1745
557	2197	1741
558	2200	1736
559	2203	1731
560	2206	1726
561	2209	1721
562	2213	1718
563	2216	1713
564	2219	1708
565	2221	1703
566	2224	1699
567	2228	1694
568	2231	1690
569	2233	1685
570	2236	1680
571	2240	1676
572	2244	1672
573	2247	1667
574	2249	1662
575	2252	1658
576	2255	1653
577	2258	1648
578	2261	1644
579	2264	1639
580	2267	1635
581	2269	1630
582	2275	1627
583	2278	1622
584	2280	1617
585	2283	1613
586	2287	1609
587	2289	1604
588	2292	1599
589	2295	1595
590	2298	1590
591	2301	1586
592	2304	1581
593	2307	1576
594	2310	1572
595	2313	1568
596	2315	1563
597	2318	1558
598	2321	1553
599	2324	1549
600	2327	1545
601	2330	1540
602	2333	1536
603	2338	1533
604	2341	1528
605	2344	1524
606	2347	1519
607	2352	1516
608	2355	1512
609	2357	1507
610	2360	1502
611	2366	1500
612	2368	1495
613	2372	1491
614	2374	1486
615	2378	1482
616	2380	1477
617	2383	1473
618	2388	1470
619	2391	1465
620	2394	1461
621	2397	1457
622	2399	1452
623	2402	1447
624	2406	1444
625	2410	1439
626	2412	1435
627	2415	1430
628	2418	1426
629	2420	1421
630	2424	1417
631	2427	1413
632	2429	1408
633	2432	1404
634	2435	1399
635	2438	1395
636	2440	1390
637	2443	1386
638	2446	1381
639	2448	1377
640	2451	1372
641	2455	1369
642	2458	1364
643	2460	1360
644	2463	1356
645	2466	1351
646	2470	1347
647	2473	1343
648	2475	1338
649	2477	1334
650	2480	1329
651	2485	1326
652	2487	1321
653	2490	1317
654	2492	1312
655	2495	1308
656	2497	1303
657	2500	1299
658	2503	1295
659	2505	1290
660	2507	1286
661	2509	1281
662	2512	1277
663	2514	1272
664	2517	1268
665	2520	1263
666	2522	1259
667	2524	1254
668	2527	1250
669	2530	1246
670	2532	1241
671	2535	1237
672	2537	1232
673	2540	1228
674	2543	1224
675	2546	1220
676	2548	1216
677	2553	1212
678	2556	1208
679	2561	1205
680	2564	1201
681	2566	1196
682	2568	1192
683	2570	1187
684	2573	1183
685	2576	1179
686	2578	1174
687	2580	1170
688	2583	1165
689	2585	1161
690	2587	1157
691	2590	1153
692	2593	1148
693	2595	1144
694	2598	1140
695	2602	1136
696	2608	1133
697	2610	1129
698	2612	1125
699	2615	1120
700	2617	1116
701	2619	1111
702	2622	1108
703	2624	1103
704	2627	1099
705	2630	1095
706	2632	1091
707	2636	1087
708	2639	1083
709	2641	1079
710	2644	1074
711	2646	1070
712	2649	1066
713	2654	1063
714	2657	1059
715	2659	1054
716	2661	1050
717	2665	1046
718	2667	1042
719	2670	1038
720	2673	1034
721	2675	1030
722	2678	1026
723	2681	1022
724	2683	1017
725	2686	1013
726	2690	1010
727	2693	1006
728	2695	1002
729	2698	998
730	2701	994
731	2706	991
732	2708	986
733	2711	982
734	2714	978
735	2718	975
736	2721	971
737	2723	966
738	2726	962
739	2728	958
740	2731	954
741	2734	950
742	2738	947
743	2740	942
744	2742	938
745	2745	934
746	2749	931
747	2753	927
748	2756	923
749	2758	919
750	2762	915
751	2764	911
752	2766	907
753	2768	903
754	2771	899
755	2773	895
756	2776	891
757	2779	887
758	2784	884
759	2787	880
760	2789	876
761	2791	872
762	2794	868
763	2796	863
764	2798	859
765	2801	855
766	2804	851
767	2806	847
768	2809	843
769	2811	839
770	2814	835
771	2816	831
772	2819	827
773	2822	824
774	2825	820
775	2827	816
776	2831	812
777	2833	808
778	2836	804
779	2839	800
780	2842	796
781	2844	792
782	2849	789
783	2852	785
784	2856	782
785	2859	778
786	2861	774
787	2865	770
788	2868	766
789	2870	763
790	2873	759
791	2875	755
792	2877	751
793	2881	747
794	2885	743
795	2887	740
796	2890	736
797	2892	732
798	2895	728
799	2897	724
800	2900	720
801	2903	716
802	2906	713
803	2908	709
804	2911	705
805	2913	701
806	2917	697
807	2919	693
808	2922	689
809	2924	686
810	2927	682
811	2930	678
812	2933	674
813	2935	670
814	2938	666
815	2940	663
816	2943	659
817	2945	655
818	2948	651
819	2951	647
820	2953	644
821	2957	640
822	2960	636
823	2962	632
824	2965	629
825	2968	625
826	2970	621
827	2973	617
828	2976	613
829	2981	610
830	2984	606
831	2987	603
832	2990	599
833	2992	595
834	2995	591
835	2998	588
836	3001	584
837	3004	580
838	3006	577
839	3009	573
840	3013	569
841	3016	566
842	3019	562
843	3022	558
844	3027	555
845	3029	551
846	3034	548
847	3038	544
848	3041	540
849	3043	537
850	3046	533
851	3049	529
852	3053	526
853	3055	522
854	3058	518
855	3060	514
856	3063	511
857	3066	507
858	3069	503
859	3071	500
860	3074	496
861	3076	492
862	3079	488
863	3082	485
864	3085	481
865	3088	477
866	3091	474
867	3094	470
868	3096	466
869	3101	463
870	3103	459
871	3106	455
872	3108	452
873	3110	448
874	3113	444
875	3116	441
876	3119	437
877	3121	433
878	3124	430
879	3126	426
880	3128	422
881	3131	418
882	3133	415
883	3136	411
884	3138	407
885	3141	404
886	3144	400
887	3147	396
888	3150	393
889	3152	389
890	3154	385
891	3157	382
892	3161	378
893	3166	375
894	3172	372
895	3177	368
896	3180	365
897	3183	361
898	3185	357
899	3190	354
900	3193	350
901	3195	347
902	3198	343
903	3200	339
904	3202	336
905	3205	332
906	3208	328
907	3213	325
908	3216	321
909	3221	318
910	3223	314
911	3225	311
912	3228	307
913	3230	303
914	3232	300
915	3236	296
916	3238	293
917	3241	289
918	3244	285
919	3246	282
920	3249	278
921	3251	275
922	3254	271
923	3257	267
924	3259	264
925	3261	260
926	3266	257
927	3269	253
928	3271	250
929	3275	246
930	3278	242
931	3282	239
932	3285	235
933	3288	232
934	3290	228
935	3293	225
936	3298	221
937	3303	218
938	3306	214
939	3311	211
940	3314	207
941	3319	204
942	3322	200
943	3326	197
944	3332	193
945	3335	190
946	3338	186
947	3341	183
948	3345	179
949	3347	176
950	3350	172
951	3352	169
952	3355	165
953	3359	161
954	3362	158
955	3365	154
956	3367	151
957	3372	147
958	3375	144
959	3380	140
960	3386	137
961	3390	133
962	3393	130
963	3397	126
964	3402	123
965	3407	119
966	3412	116
967	3415	112
968	3418	109
969	3421	105
970	3426	102
971	3428	98
972	3431	95
973	3436	91
974	3439	88
975	3444	84
976	3447	81
977	3450	77
978	3453	74
979	3458	70
980	3464	67
981	3469	63
982	3472	60
983	3475	56
984	3481	53
985	3484	49
986	3487	45
987	3492	42
988	3495	38
989	3498	35
990	3504	31
991	3506	28
992	3509	24
993	3512	21
994	3515	17
995	3518	14
996	3523	10
997	3527	7
998	3529	3
999	3532	0
